subj_idx,Group,delta_t_s,delta_rt_ms,frac_t_of_rt
0,AgencyEMS,-0.011618871358025945,-15.108918128654977,0.769007500013522
1,AgencyEMS,-0.009960722324433346,-4.917811435951592,2.025438033596739
2,AgencyEMS,-0.008238182888033407,-10.74457454517713,0.7667295576381146
3,AgencyEMS,-0.007394949889158786,-8.790849673202615,0.8412099130418544
4,AgencyEMS,-0.01027064682543577,2.2514418395625455,-4.561808635230547
5,AgencyEMS,-0.009593243595484885,-18.989337822671132,0.5051910543205794
6,AgencyEMS,-0.011036503469404352,-12.093273638204778,0.9126150453205736
7,AgencyEMS,-0.010150273539641957,-1.3227498228207253,7.673615497446673
8,AgencyEMS,-0.011477378795656079,-12.964912280701753,0.8852646703009426
9,AgencyEMS,-0.008224021389251823,-11.567441860465095,0.7109628462762949
10,AgencyEMS,-0.011839232491263174,-3.444427274483303,3.437213663638514
11,AgencyEMS,-0.010062224944509701,-13.260183337029645,0.7588300017248251
12,AgencyEMS,-0.01017333435206011,-3.2110721589249067,3.168204838930255
13,AgencyEMS,-0.008775215037593265,-7.140442890442898,1.2289454831069964
14,AgencyEMS,-0.010162429595528127,-3.6473877904459755,2.7862213121806665
15,AgencyEMS,-0.009779954538790575,-10.011670761670786,0.9768553892355983
16,AgencyEMS,-0.009277348039850475,-12.263745318352022,0.756485706366344
17,AgencyEMS,-0.00907257102497902,-0.09171230376048811,98.92425174132093
18,Voluntary,0.001767973447722171,-5.8456904373072405,-0.30244048443601307
19,Voluntary,0.003187360059308336,2.4560825976357705,1.2977413961470572
20,Voluntary,-0.003456981257718428,-8.65676525582191,0.39933868547417456
21,Voluntary,-0.002346878046310563,-7.0424119913040215,0.33324918354797917
22,Voluntary,-0.0011922454925892,8.488339388257316,-0.1404568594698912
23,Voluntary,0.0012511773701343598,-4.478802702073153,-0.27935532180401995
24,Voluntary,-0.0012688364804532282,-2.288071540821676,0.5545440594036551
25,Voluntary,-0.0023346438094794253,-7.153716752364602,0.32635396260380706
26,Voluntary,-0.0009739619175427872,6.908399311531866,-0.14098228455280493
27,Voluntary,-0.000714655067344222,-6.28262684649971,0.11375099696433244
28,Voluntary,0.0015607938258451748,-3.364644970414247,-0.4638806886222571
29,Voluntary,-0.0025362123871404407,7.616882162797481,-0.3329725119718744
30,Voluntary,-0.001738640820478865,-9.028264898773756,0.19257751516739524
31,Voluntary,-0.001333370444471571,-2.5631596997294537,0.5202057619009501
32,Voluntary,0.0016065044998187505,4.57899051828619,0.35084250412906026
33,Voluntary,0.0009318115318087683,5.425694066412603,0.1717405221162552
34,Voluntary,5.0183541906445583e-05,4.801793810368622,0.010450998915880796
35,Voluntary,0.0004028748837595908,0.9545731707317202,0.42204714747091665
