subj_idx,subject_id,a,v,t
0,001,1.2873534175937553,6.004029754617499,0.2227516666349365
1,002,1.8097166028349694,6.445130235061495,0.21940939897416653
2,003,0.8784332476342391,4.480504090944703,0.22536113202385152
3,004,0.7088125953581484,3.1620773892469796,0.22130394367774395
4,005,1.3690267802911704,5.072857323961874,0.21572756830418008
5,006,1.7886240659135622,5.186423813471159,0.21456369149281826
6,007,3.271939309196856,5.237268382856766,0.21650349854318915
7,008,2.4832191049588226,5.993619297412796,0.22034952895606216
8,009,0.7271374912094919,2.8305091442408683,0.21757484777185895
9,010,2.5402671384970286,6.9663921612915605,0.2173404581091146
